Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
24/06/2020,San Juan,San Juan eguna,Leioa ,Leioa ,Bizkaia,54,43,326097,-2,987704,
02/09/2020,San Antolín  ,San Antolin,Lekeitio,Lekeitio,Bizkaia,57,43,365509,-2,503344,
08/09/2020,Andra Maria,Andra Mari,Lemoa,Lemoa,Bizkaia,55,43,208759,-2,774116,
16/07/2020,Fiesta local,Tokiko jai-eguna,Lemoiz,Lemoiz,Bizkaia,56,43,413244,-2,902253,
08/09/2020,Andra Mari,Andra Mari eguna,Lezama,Lezama,Bizkaia,81,43,272167,-2,832167,
29/06/2020,Fiesta local,Tokiko jai-eguna,Loiu,Loiu,Bizkaia,903,43,315000,-2,938333,
26/02/2020,Miércoles de Ceniza,Hautsezko asteazkena,Mallabia,Mallabia,Bizkaia,58,43,189651,-2,529969,
21/10/2020,Fiesta local,Tokiko jai-eguna,Mañaria,Mañaria,Bizkaia,59,43,137485,-2,661135,
16/07/2020,Fiesta local,Tokiko jai-eguna,Markina-Xemein,Markina-Xemein,Bizkaia,60,43,270604,-2,497155,
10/08/2020,San Lorenzo,Lorentzo Deuna,Maruri-Jatabe,Maruri-Jatabe,Bizkaia,61,43,382772,-2,874989,
29/09/2020,San Miguel,San Miguel,Mendata,Mendata,Bizkaia,62,43,283333,-2,633333,
15/05/2020,San isidro,San Isidro eguna,Mendexa,Mendexa,Bizkaia,63,43,346389,-2,483333,
17/08/2020,San Roque,Roke Deuna,Meñaka,Meñaka,Bizkaia,64,43,364464,-2,801795,
11/11/2020,San Martín,San Martin Eguna,Morga,Morga,Bizkaia,66,43,297932,-2,752739,
29/06/2020,San Pedro,San Pedro,Mundaka,Mundaka,Bizkaia,68,43,407335,-2,698322,
29/06/2020,Fiesta local,Tokiko jai-eguna,Mungia,Mungia,Bizkaia,69,43,354410,-2,846714,
29/06/2020,San Pedro y San Pablo,San Pedro eta San Pablo Eguna,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,Bizkaia,7,43,265332,-2,591845,
09/09/2020,Andra Maria,Andra Mari,Murueta,Murueta,Bizkaia,908,43,354463,-2,684153,
24/06/2020,San Juan,San Juan,Muskiz,Muskiz,Bizkaia,71,43,323333,-3,121667,
26/10/2020,último lunes de octubre de Gernika,Gernikako urriko azken astelehena,Muxika,Muxika,Bizkaia,67,43,289668,-2,692941,
08/09/2020,Andra Mari,Andra Mari eguna,Nabarniz,Nabarniz,Bizkaia,909,43,321597,-2,584400,
17/08/2020,Día del pescador,Arrantzale eguna,Ondarroa,Ondarroa,Bizkaia,73,43,320698,-2,420475,
02/09/2020,San Antolin,Antolin Deuna,Orozko,Orozko,Bizkaia,75,43,108611,-2,911111,
18/05/2020,San Félix de Cantalicio,Kantalizioko Felix Deuna,Ortuella,Ortuella,Bizkaia,83,43,311370,-3,55952,
20/07/2020,Santa Maña,Santa Maña,Otxandio  ,Otxandio  ,Bizkaia,72,43,40447,-2,654584,
22/07/2020,La Madalena,La Madalena,Plentzia  ,Plentzia  ,Bizkaia,77,43,404430,-2,950102,
01/07/2020,Virgen de la Guía,Virgen de la Guía,Portugalete  ,Portugalete  ,Bizkaia,78,43,320664,-3,20252,
16/07/2020,Virgen del Carmen,Karmengo Ama,Santurtzi  ,Santurtzi  ,Bizkaia,82,43,328711,-3,31772,
29/06/2020,San Pedro Apostol,San Pedro apostolua,Sestao  ,Sestao  ,Bizkaia,84,43,309635,-3,6940,
24/06/2020,Fiesta local,Tokiko jaieguna,Sondika  ,Sondika  ,Bizkaia,904,43,300063,-2,927103,
